,Equal Weight,Regime-Based (B),Bayesian Momentum (B),BayesianRiskParity (B),Rule-Based Regime (NB),Classical Momentum (NB),Inverse Vol (NB),SPY Only,GLD Only,BTC-USD Only,TLT Only,GSG Only
2024-04-26,112131.91125519352,111125.34752536815,118680.17283682444,108735.19880471112,111159.40421584896,120178.80095164683,108995.19351850031,107640.79266911793,113279.31140379068,133921.16404449425,90337.51724956676,113900.08801484112
2024-04-29,112303.76103516002,111023.64995001552,118665.55350341475,108763.05452070596,111276.29549143871,120198.44115443713,109145.04787170913,108021.31989425363,113048.98241970433,134101.27161028836,91091.94561886854,113497.43632263085
2024-04-30,109823.0630293303,108942.42077103561,114995.24516078536,106964.73993357822,109207.09893809483,116160.3735578511,107330.93679312686,106296.43159991314,110772.3450217165,127195.77628419912,90310.5684152202,111878.18707914423
2024-05-01,108792.21004885303,107785.24721621987,112892.61473964844,106328.9111077949,108963.69584733523,113744.0632634249,106857.06771391183,105950.71208354863,111771.65972277989,122096.50734590278,90973.79883593082,109645.62040391681
2024-05-02,109372.89241931676,108057.88151689348,113574.58593808669,106619.75199200859,109395.86265399435,114593.63727603541,107254.36273507774,106937.10714231049,111426.07713906677,123905.29293467205,91363.33635913873,109796.20151522795
2024-05-03,111186.05485715756,108863.40577767041,116375.97458653434,107284.23937956302,110481.18477323778,118025.77221005248,108125.83923709881,108254.47717848103,111337.16526797884,131557.3376966645,92283.2027630119,109745.96188403368
2024-05-06,112022.19638117867,109715.51752285886,117266.60225128276,108141.8784877819,111505.68736728972,118873.45462738266,109002.93065202302,109366.67081619211,112502.13367306645,132125.3352763565,92642.0109570513,110696.15195059785
2024-05-07,111774.31288273851,109645.3538274854,116509.64622138927,108152.7420907161,111384.37988571195,117951.64640273599,109002.81342364577,109487.28433247638,111983.39302864218,130383.66835609222,93205.25893903551,110645.9142907567
2024-05-08,111149.43580248067,109298.33461864246,115521.64606107243,107869.66564241724,111143.88532943273,116745.67965576459,108673.3331788953,109497.86411014685,111653.55767018757,127962.44542638757,92638.58650322164,110595.67663091514
2024-05-09,112510.52583518557,110270.15647720709,117547.53853052355,108752.61146746387,112227.89271159736,119054.51368575533,109606.6909111832,110126.96340614691,113401.54099450694,131798.4151426798,93089.45192244969,111146.7709124266
2024-05-10,111631.16921298439,109794.25859098337,116463.00302607613,108494.116574827,112257.9889702861,117634.71804245848,109318.849241137,110268.74332351491,114317.80093902539,126993.51220000135,92564.12116187772,110441.39771697277
2024-05-13,112332.45031280439,110056.46680824415,117309.48038094494,108571.26793383072,112180.39109316451,118873.33587621653,109462.4687093256,110283.5465581193,113029.97433485098,131323.76431529372,92800.07346546471,111092.38574864964
2024-05-14,112101.0214516555,110232.84165522187,117103.4599094007,108804.3990274176,112583.0063181578,118510.36077564185,109619.32161674368,110788.36662637643,113982.4149393114,128477.44804256798,93322.41651181408,110285.89506097641
2024-05-15,114753.91851616073,111942.57417503941,120329.57813960208,110215.86750235173,114335.04000370312,122354.9090367382,111141.64995269426,112151.8563086076,115436.49230521504,137959.63586069137,94587.42444302149,110936.85197488694
2024-05-16,114326.38890475799,111729.92172175177,119715.65996838271,110087.5883188758,113999.85921610027,121599.42773645911,111001.73788093371,111920.86927240767,114986.18122772248,135785.98186013897,94494.93513896575,111387.91803575442
2024-05-17,115464.38571701181,112217.56974556256,121541.2975934078,110671.86941586462,114811.47093027268,123741.09267796423,111698.46587210697,112081.62591256671,116867.71883428741,139523.19702129537,93856.04932879389,112636.39463993027
2024-05-20,117074.40157738538,112738.02430257718,124045.25175947434,111026.78607551406,115424.73988835362,127071.4580847318,112180.07042157279,112210.70583296522,117337.04360656562,148383.7672821277,93578.3383844502,113087.44274133349
2024-05-21,116700.60960802235,112727.64894669913,123258.44249186954,111043.65788117425,115426.01320411246,125996.88459165122,112163.59104196474,112485.55910203797,117164.48429464373,145634.38564998622,94059.78982812085,112684.99629383393
2024-05-22,115637.54418744134,111979.70034156679,121650.17348992683,110276.90011185531,114491.84896820082,124258.75934286199,111317.8719412697,112161.21087938806,114991.68445012893,143513.09419241254,94172.68870880552,111473.3191831517
2024-05-23,114345.80031138261,111017.21305117826,119952.2107896332,109311.30540220362,113204.34791467366,122375.86773896802,110273.61159015576,111338.9620935138,112675.04495192123,141015.01965674435,93564.82867024069,110970.05087216721
2024-05-24,114909.25919881625,111532.38722451772,120515.7104451098,109802.85097252931,113755.87585494568,122983.62067665877,110762.15902231215,112073.18455011102,112779.45912474081,142247.9696277258,93841.65773651106,111570.96784904743
2024-05-28,115217.38108836257,111859.3427384142,121460.45800401528,110173.29709757245,114144.72287381355,123916.32397899346,111167.39863734916,112151.49007944856,113958.93984224253,141769.97168081175,92486.65826180339,113807.93390933388
2024-05-29,114029.51662427318,110698.95627886248,120263.08668807009,109051.93618565805,113179.6731696924,122692.96557551206,110025.58474093924,111363.37935835967,112893.72427921456,140271.38807052575,91360.56981107689,112393.52156220515
2024-05-30,114086.36332947691,110462.60227760125,119997.27005409269,108743.60544556388,112866.34852043839,122544.72124834929,109798.4516619168,110622.15245492737,113107.65376438724,141895.31131978476,92239.34644580752,110826.51024715157
2024-05-31,113885.26841815394,110422.84986986576,119727.98881465498,108774.2661848118,113175.24639889447,122279.35302696987,109890.92839370164,111625.154392624,112442.4183270758,140070.46769434545,92863.50975687917,110172.07486387061
2024-06-03,114491.59583193217,110184.15708816495,119964.3994845,108727.74522739013,113612.02655361546,122663.68516610796,110152.73375104042,111716.12590629689,113440.71044424124,142770.02434870857,94353.54375454974,108145.85692280302
2024-06-04,114920.98873003182,110123.02215800103,119725.15572121809,108586.2708147723,113566.19837593508,122383.2792427653,110175.84939509284,111840.9685449165,112417.74790006003,146382.13812352545,95449.29811822533,107036.14500619512
2024-06-05,115959.46135375559,111230.76439731912,120958.61053059192,109648.11439158006,114819.34103111963,123638.82162859318,111208.62083209853,113162.3625868926,113741.57853705953,147446.6609164198,96147.14304617864,107786.2242785271
2024-06-06,116320.82184707919,111524.07258566403,121470.91746607676,110055.99025815321,115105.55407368556,124219.02020929936,111675.03675461243,113160.23795052175,114579.19135756882,146769.60202851618,96002.8143491431,109330.68690391556
2024-06-07,114267.38199041552,109931.89696449137,119277.41277869546,108471.267402925,113541.68243553049,121876.2891727913,109920.87229316987,113022.59525719483,110415.89767872365,143805.6549227583,94225.23098647557,108018.29798898031
2024-06-10,114859.71767046904,110494.14338438079,120142.3705046204,109054.36291193229,114110.5806064721,122768.90759202084,110509.05422376936,113371.25913144306,111423.59826369467,144157.1464937017,93594.97690413494,109957.45568420981
2024-06-11,114484.80919161494,110609.01735901041,120362.13087356857,109322.48695342166,114154.01900860335,123086.89107925005,110712.52991205643,113643.97555923574,111741.43833979413,139563.23665929522,94557.97967883878,109957.45568420981
2024-06-12,115315.67453343412,111284.36241274133,121038.14678874305,110019.63698371792,115050.1468559535,123777.5059433318,111428.44133473144,114573.52218741339,112038.46763306292,141435.0914714931,95265.80067409543,110457.94755331763
2024-06-13,114981.57603401107,111160.11425815444,120873.82615191727,110151.43508610863,115079.86826748062,123730.58417180463,111551.31511445054,114803.97968176454,111121.59601360683,138323.78034729697,96655.98616481264,110357.57455723647
2024-06-14,115226.18977728627,111697.42058687069,121594.6252974254,110612.30920019465,115212.30830600935,124466.30942451018,111980.68077267622,114873.81699605353,112552.42985653953,136770.77300912046,97465.9450884245,110357.57455723647
