,SPY,GLD,BTC-USD,TLT,GSG
2017-11-03,0.3245023166279025,0.22537239332471531,0.024399105328442437,0.26213836663641404,0.1635878180825256
2017-11-06,0.344245768936797,0.2170043576722739,0.02332251096079488,0.255145241130751,0.16028212129938327
2017-11-07,0.3473364232968344,0.21667917954178087,0.023690368903443813,0.25645909719950094,0.1558349310584399
2017-11-08,0.35385573170006274,0.21340155228280427,0.024733187157187655,0.25153376150197393,0.1564757673579715
2017-11-09,0.35296529875380506,0.2149360677891715,0.024709866919738095,0.2518413181683645,0.15554744836892084
2017-11-10,0.34935980247306314,0.21672942086170557,0.024630956986924586,0.2521957371701021,0.1570840825082046
2017-11-13,0.396961815954393,0.20360891878689347,0.022915182887015023,0.22784295426621123,0.14867112810548722
2017-11-14,0.3962292990484954,0.20205563098323367,0.022865601608740207,0.2258266225100309,0.1530228458494998
2017-11-15,0.39501277489639275,0.20374494568540655,0.023142816416316048,0.2248458306880391,0.15325363231384564
2017-11-16,0.4078187030184524,0.2019514406572892,0.02239792245683564,0.21647512112072856,0.15135681274669419
2017-11-17,0.4009313747791946,0.20538649947810728,0.022474454173801575,0.21787139593655616,0.15333627563234029
2017-11-20,0.4045485434181928,0.20227054257864127,0.022766312339856924,0.21844787745386057,0.15196672420944837
2017-11-21,0.40724957414761104,0.19769720976092875,0.022739949367193292,0.22043709057427568,0.1518761761499912
2017-11-22,0.39784045855513156,0.20789626007205164,0.022691400252148136,0.21981761274849065,0.151754268372178
2017-11-24,0.3988154984234651,0.2052995072284538,0.02287174487821826,0.22100881123338895,0.15200443823647397
2017-11-27,0.40082805151424394,0.20422771242717952,0.022779861357910235,0.21969150784935387,0.15247286685131248
2017-11-28,0.3978285674281964,0.2042094166040868,0.02087060156628587,0.21444622163038135,0.16264519277104963
2017-11-29,0.38167885700319587,0.2088505444940595,0.021348873899795506,0.22207394723683663,0.16604777736611256
2017-11-30,0.38837909553482913,0.20678474140253406,0.021374000380548264,0.22362892527277412,0.15983323740931446
2017-12-01,0.3786439200747089,0.20823621403828607,0.021710243148713913,0.22817369708466456,0.16323592565362663
2017-12-04,0.37795952570613245,0.21408288776972845,0.02166196600282415,0.22470219249947104,0.1615934280218439
2017-12-05,0.37770739108117324,0.21366800255676205,0.022070382527191842,0.22476623783927366,0.1617879859955991
2017-12-06,0.38461843514379906,0.21333259960322803,0.021403690839488825,0.22419676021565327,0.1564485141978307
2017-12-07,0.3888044668468997,0.21543392952627305,0.020296038822837505,0.22683850603724434,0.1486270587667455
2017-12-08,0.3912494046701474,0.2119959081020913,0.019138408652447744,0.22616723731493008,0.15144904126038342
2017-12-11,0.3867805692752824,0.2139078731700519,0.021033221493471574,0.22766864952019547,0.15060968654099877
2017-12-12,0.3858087097017336,0.21432913638368375,0.021715631250993534,0.22746232898383736,0.1506841936797518
2017-12-13,0.38410755149278863,0.21674102754833902,0.022013192625464428,0.22845474590590828,0.14868348242749965
2017-12-14,0.3867375274944554,0.21429439612097476,0.02199446157927958,0.22745306637572982,0.14952054842956045
2017-12-15,0.38062421725047035,0.2178068008918037,0.02210986358531119,0.22738074722152535,0.15207837105088934
2017-12-18,0.37340649659514663,0.22184638477590957,0.02273974968713632,0.22855116801889105,0.15345620092291629
2017-12-19,0.3713038322591827,0.22436480313136287,0.022899190007107745,0.22624656197947346,0.1551856126228732
2017-12-20,0.3679037980451408,0.231511080769981,0.02251301846901031,0.21918066583287163,0.1588914368829963
2017-12-21,0.36722821801574956,0.23813578078096254,0.022114271852661932,0.21333560838485613,0.15918612096576995
2017-12-22,0.36271528167827377,0.23965819612832298,0.021613730137681895,0.21955135632274103,0.15646143573298027
2017-12-26,0.36320023343755764,0.23858255420224084,0.020577239228817906,0.22060104788805968,0.15703892524332402
2017-12-27,0.3655646419075648,0.2386340252195121,0.020017244504437162,0.22184179087887948,0.1539422974896064
2017-12-28,0.3681195113911122,0.24091807510247285,0.020011413359119903,0.21388532100083732,0.15706567914645778
2017-12-29,0.3690146691721354,0.23987219811705726,0.019721627574479084,0.21431372423912365,0.1570777808972046
2018-01-02,0.3661512069127061,0.23947929965701537,0.019922154312164944,0.21584664836453885,0.15860069075357489
2018-01-03,0.36732077159593934,0.2358736544964255,0.020163073956839705,0.21323364286245797,0.16340885708833752
2018-01-04,0.36126824835623134,0.23581716563573735,0.0201242165080764,0.21237203463810903,0.17041833486184585
2018-01-05,0.36004582778021604,0.23759596604930186,0.020252788524042425,0.2121692758611574,0.1699361417852822
2018-01-08,0.3555111294574555,0.23873564098995012,0.02002842386645335,0.21263232421809125,0.17309248146804979
2018-01-09,0.35556796677617086,0.23930414675134723,0.019131108260251536,0.21277936068700562,0.17321741752522482
2018-01-10,0.3597423315643594,0.2395282387009331,0.01953118887038794,0.20701426878583118,0.17418397207848837
2018-01-11,0.3559846709121897,0.24140451395517484,0.019432933454930364,0.20804029844211802,0.17513758323558717
2018-01-12,0.3505764941460901,0.2455799712321535,0.019006007579969234,0.20841900249696863,0.17641852454481854
2018-01-16,0.3494144724073921,0.24285837549546246,0.019233202284167895,0.21065874818251645,0.17783520163046118
2018-01-17,0.3464275094161075,0.24521924983533988,0.01802350967621419,0.21276219204684566,0.17756753902549288
2018-01-18,0.33910518890479174,0.24485380663600936,0.018198569363887165,0.21530176524890604,0.1825406698464057
2018-01-19,0.33813428929797046,0.2464522436568578,0.018157406033484414,0.21555477523901426,0.18170128577267305
2018-01-22,0.3412930161563554,0.24521645874709633,0.018150771799178053,0.21417855890922685,0.18116119438814332
2018-01-23,0.33481268312420703,0.24704999557880034,0.01823443261000712,0.21635338559776518,0.18354950308922027
2018-01-24,0.34050135871319653,0.2443249628965827,0.018133609686358628,0.21530705403674785,0.18173301466711417
2018-01-25,0.34186192994056874,0.24354989855901013,0.01822594088789637,0.21581501131187095,0.18054721930065393
2018-01-26,0.348224238001477,0.23994982635999879,0.018194230290484895,0.21421769153891587,0.17941401380912353
2018-01-29,0.3399744767749662,0.2423906139424306,0.018429625524647514,0.21975258753775467,0.17945269622020096
2018-01-30,0.33381562229644485,0.24531481180249334,0.018806591569981723,0.22135146802414427,0.18071150630693572
2018-01-31,0.32131781780373736,0.2505675731795289,0.01893721786945145,0.22668305023918756,0.18249434090809474
2018-02-01,0.3221985009492466,0.24905621388360213,0.01902767944398449,0.2265204497348118,0.18319715598835487
2018-02-02,0.3244879078952072,0.25292433197546615,0.018848196852377888,0.21997061395486123,0.1837689493220875
2018-02-05,0.28677501326476934,0.2606330307861949,0.020065369476621235,0.23200099740241747,0.200525589069997
2018-02-06,0.21886937742986026,0.28826761087399166,0.020514997151287715,0.2519793401890538,0.2203686743558066
2018-02-07,0.21786949162185731,0.2926885518345297,0.021150215291665633,0.26154929704793484,0.2067424442040126
2018-02-08,0.22020070355631344,0.2956494217374629,0.02146832330039322,0.2615895407181739,0.20109201068765656
2018-02-09,0.1917537258508885,0.3066710115053844,0.021895698659326026,0.27715581566956815,0.20252374831483302
2018-02-12,0.19011484715815935,0.3097125850218757,0.022068135720042077,0.2788886112392062,0.1992158208607166
2018-02-13,0.18662137839448684,0.30795465976390607,0.0220186952401738,0.27990902299903503,0.2034962436023982
2018-02-14,0.18615341788577464,0.3048634360982094,0.02209549193273343,0.2844364500868671,0.20245120399641559
2018-02-15,0.18934422465051745,0.29570488319406124,0.022549810966676978,0.28928462828129536,0.20311645290744879
2018-02-16,0.18514418110017344,0.29979189377773013,0.022183523116914808,0.2886685921384407,0.20421180986674095
2018-02-20,0.18330133492938944,0.3079776840323257,0.022049136421432677,0.28352061098745673,0.2031512336293956
2018-02-21,0.18546164901805964,0.29838658238547544,0.022078144991249347,0.2876613815041745,0.20641224210104123
2018-02-22,0.1853608184519783,0.3020828236217005,0.02200526971892712,0.28245579853704395,0.2080952896703502
2018-02-23,0.18619237562160373,0.30258575650652475,0.021977364699481354,0.2828203922141753,0.20642411095821478
2018-02-26,0.1844381635857072,0.30578117481622163,0.02291738129917364,0.2799884091139807,0.20687487118491693
2018-02-27,0.18415900627469886,0.3057655452134559,0.022948327885273484,0.28038279622638684,0.20674432440018484
2018-02-28,0.1825315482391069,0.30247423179609817,0.023040350268001962,0.2858989898618462,0.20605487983494677
2018-03-01,0.18245750951744566,0.30775830579951563,0.02312559085514286,0.2845243355707013,0.20213425825719453
2018-03-02,0.1781239429235858,0.305740423555678,0.0230094887690517,0.29011250191533083,0.20301364283635376
2018-03-05,0.1777468065987743,0.30498730879245145,0.02309452389908634,0.2871676256707069,0.2070037350389811
2018-03-06,0.17610880880929164,0.30806501050265017,0.023013883447184278,0.2885188208692651,0.2042934763716088
2018-03-07,0.17509488538333845,0.3004203009101305,0.023754054467286716,0.2878642841352209,0.21286647510402323
2018-03-08,0.17328387531171072,0.30686120584198057,0.025178789512643563,0.2873103987272179,0.20736573060644722
2018-03-09,0.17391379541999535,0.30715418530035,0.025342426537803914,0.2857358673841984,0.20785372535765229
2018-03-12,0.17169257443715072,0.31071742852530704,0.025533069029013086,0.2857979468403199,0.20625898116820923
2018-03-13,0.17206172712142853,0.3113885276768853,0.025650540221093712,0.2840286363655209,0.20687056861507164
2018-03-14,0.17039386149978114,0.31356853756126724,0.025585122980701643,0.28417413888232096,0.20627833907592913
2018-03-15,0.17076713414116146,0.31494745515324407,0.025322405260845202,0.2814021139971785,0.20756089144757062
2018-03-16,0.1717126526447764,0.31180041028454947,0.025595021376517965,0.28298382288663765,0.20790809280751843
2018-03-19,0.1714844644833603,0.31103375119605386,0.02580912204401022,0.28520420112303996,0.20646846115353568
2018-03-20,0.16854799443780358,0.30929450563501937,0.025730602999891362,0.29195282241827536,0.20447407450901034
2018-03-21,0.1678972933218298,0.30658903065915266,0.025683152152936706,0.2968327547832782,0.20299776908280268
2018-03-22,0.17161791319519912,0.2956074238888037,0.026318716166729452,0.3059575665983962,0.2004983801508716
2018-03-23,0.16730784407068727,0.3003035983723222,0.027426340592702818,0.30412171060099813,0.20084050636328962
2018-03-26,0.163809321545607,0.2956900026155505,0.028830096969919783,0.3067508630189318,0.20491971584999075
2018-03-27,0.15640590670108934,0.29382715489693456,0.028470477872686473,0.3173375985157821,0.2039588620135075
2018-03-28,0.1560431029275036,0.2959676981670392,0.029023678586043305,0.3124214958902448,0.20654402442916903
2018-03-29,0.15758136691281507,0.2896730661567452,0.029277158831539366,0.31502580555203175,0.20844260254686858
2018-04-02,0.15486838716336818,0.29384546627429836,0.028554858716148337,0.31663392090476944,0.20609736694141562
